coop,lat,lon,status,activities,address,flocert,type
COOP-CA-CPAY (Société Coopérative avec conseil d'administration des producteurs Agricole de Yabayo),5.7847905,-6.608577,certified Fair Trade producer,production,"BP 230 Soubré, Soubré, Ivory Coast",FLO ID 37169,certified
SCOOPS-ECAPG (Société Coopérative des Eco-Agriculteurs et Producteurs de Galebre ,6.1444299,-6.0285362,certified Fair Trade producer,production,"BP 364 Gagnoa, Gagnoa, Ivory Coast",FLO ID 37175,certified
COFUMA SCOOPS  (Coopérative Agricole des Freres unis de la Marahoue),5.9823622,-3.9654836,certified Fair Trade producer,production,"BP 786 Bouafle, Bonon, Ivory Coast",FLO ID 37183,certified
Ivory Cocoa Products,4.7588067,-6.6913613,certified Fair Trade trader,commercialization,"01 BP 629 San Pedro 01, San Pedro, Ivory Coast",FLO ID 37238,certified
MATRANCI SA ,4.7588067,-6.6913613,certified Fair Trade trader,commercialization,"BP 923 San Pedro, San Pedro, Ivory Coast",FLO ID 37340,certified
ECPAD,5.2682695,-4.0117812,certified Fair Trade trader,commercialization,"15 BP 49 Abidjan 15, Vridi - rue de la Metallurgie, Abidjan, Ivory Coast",FLO ID 37366,certified
C.A.B.A.G SCOOPS (Société Coopérative Simplifiée Agricole Barakadi de Gonate),6.89996,-6.5156039,certified Fair Trade producer,production,"BP 2028 Daloa, Daloa, Ivory Coast",FLO ID 37405,certified
Société Awahus Services Sarl ,4.7588067,-6.6913613,certified Fair Trade trader,commercialization,"01 BP 983 San Pedro 01, San Pedro, Ivory Coast",FLO ID 37518,certified
Omni Value,5.3175172,-4.016988,certified Fair Trade trader,commercialization,"Abidjan Plateau rue du commerce immeuble nabil, 2eme étage porte 202G, Abidjan, Ivory Coast",FLO ID 38227,certified
AGRICOM  (Agricultural Commodities),5.3219523,-4.0209205,certified Fair Trade trader,commercialization,"Plateau, Av. Franchet d'Esperey, Immeuble Ollo, Abidjan, Ivory Coast",FLO ID 38319,certified
IVCAO  (Ivoire Cacao),5.348776,-4.120097,certified Fair Trade trader,commercialization,"16 BP 488 Abidjan, Abidjan, Ivory Coast",FLO ID 38768,certified
IVCOM  (Ivoire Commodities),4.7588067,-6.6913613,certified Fair Trade trader,commercialization,"Quartier Lac en Face de l' hopital general, San Pedro, Ivory Coast",FLO ID 39509,certified
SOCAGC SCOOPS  (Société Coopérative Des Agriculteurs De Gagny Carrefour),4.7588067,-6.6913613,certified Fair Trade trader,commercialization,"01 BP 2260 San Pedro 01, San Pedro, Ivory Coast",FLO ID 39258,certified
SACC-SAS  (Société Agricole de Cafe et de Cacao- SAS),4.7588067,-6.6913613,certified Fair Trade trader,commercialization,"San Pedro, Abidjan, Ivory Coast",FLO ID 40560,certified
SCOOPAPB-COOP  (Société Coopérative Agricole des producteurs de Bangolo),7.0158821,-7.5035765,certified Fair Trade producer,production,"Bangolo, Ivory Coast",FLO ID 40935,certified
Quang Thien Imex ,5.3602217,-3.9696312,certified Fair Trade trader,commercialization,"Marcory Zone 4, Bvd de Marseilles, Immeuble Panorama, Abidjan, Ivory Coast",FLO ID 41021,certified
COOPAGA (Coopérative Agricole de Gabiadji ),5.0160698,-6.5566503,suspended Fair Trade producer,production,"01 BP 134 San Pedro 01, Gabiadji, Ivory Coast",FLO ID 3568,suspended
