coop,lat,lon,status,activities,address,flocert,type
SCBPAG  (Société Coopérative pour le Bonheur des Producteurs Agricole de Gagnoa),6.14632,-5.95668,certified Fair Trade producer,production,"BP 967 Gagnoa, Gagnoa, Ivory Coast",FLO ID 38435,certified
ECSP COOP-CA  (Entreprise Coopérative de Saint Paul),4.75307,-6.63951,certified Fair Trade producer,production,"BP 311 San Pedro 01, San Pedro, Ivory Coast",FLO ID 38437,certified
COOP-CA COOPBEL  (Coopérative avec Conseil d’Administration Coopérative du Belier),6.55602,-5.01564,certified Fair Trade producer,production,"BP 306 Toumodi, Abidjan, Ivory Coast",FLO ID 38467,certified
SCOOPS WEBE  (Société Coopérative Simplifiée des Producteurs Agricoles Webe de Bonieredougou),5.35995,-4.00825,certified Fair Trade producer,production,"BP 2730 Abidjan, Abidjan, Ivory Coast",FLO ID 38479,certified
SCOOPS RENANI  (Société Coopérative la Renaissance de Niani),5.10582,-5.586,certified Fair Trade producer,production,"BP 32 Fresco, Fresco, Ivory Coast",FLO ID 38570,certified
COOP-CA REFSI  (Société Coopérative avec Conseil d'Administration Référence de Sinfra),6.62333,-5.91455,certified Fair Trade producer,production,"BP 112 Sinfra, Sinfra, Ivory Coast",FLO ID 38605,certified
SCOESA COOP-CA (Société Coopérative Espérance d'Adzopé),6.10714,-3.85535,certified Fair Trade producer,production,"BP 177 Adzopé, Adzopé, Ivory Coast",FLO ID 38614,certified
SCPCCT-CA  (Société Coopérative des Producteurs de Café Cacao de Tiassalé),5.86799,-4.7588,certified Fair Trade producer,production,"BP 113 N'douci, N'douci, Ivory Coast",FLO ID 38643,certified
COOP-CAAD  (Société Coopérative avec Conseil d'Administration Agnitie de Diegonefla),6.28228,-5.5745,suspended Fair Trade producer,production,"BP 65 Oume, Diegonefla, Ivory Coast",FLO ID 38717,suspended
SCOOPS-PMB (SCOOPS-Producteur Moderne de Bangueli),6.73902,-7.36263,certified Fair Trade producer,production,"BP 138 Duekoue, Duékoué, Ivory Coast",FLO ID 38786,certified
CAFUM COOP-CA,6.98257,-5.74617,certified Fair Trade producer,production,"BP 644 Bouafle, Bouafle, Ivory Coast",FLO ID 38787,certified
"COOP-CA CAPSUD  (Soc Coop avec conseil d’Administration, Cooperative agricole des producteurs success de Deukoue)",6.74022,-7.36966,certified Fair Trade producer,production,"BP 309 Duekoue, Duekoue, Ivory Coast",FLO ID 38822,certified
COOP-CA PUA  (Société Coopérative des Planteurs unis d'Agboville),5.93515,-4.22892,certified Fair Trade producer,production,"Agboville, Ivory Coast",FLO ID 38899,certified
COOP-CA SKD  (Société Coopérative Sabari Kagny De Duekoue),6.74533,-7.3719,certified Fair Trade producer,production,"BP 930 Duekoue, Duekoue, Ivory Coast",FLO ID 38902,certified
COOP-CA PRO,6.74993,-7.37001,certified Fair Trade producer,production,"BP 309 Duekoue, Duekoue, Ivory Coast",FLO ID 38941,certified
SCOOPS-SAHS,6.88799,-6.45342,certified Fair Trade producer,production,"BP 306 Daloa, Daloa, Ivory Coast",FLO ID 39053,certified
SOCAMEA COOP-CA  (Coopérative Agricole Man Edi Anouanzé),7.74423,-7.61684,certified Fair Trade producer,production,"BP 122 Biankouma, Biankouma, Ivory Coast",FLO ID 39094,certified
SOCAGNIPI  (Société Cooperative des Agriculteurs de GNIPI 2),5.7867,-6.59167,certified Fair Trade producer,production,"Axe Soubre San Pedro a 13 km de Soubre, Gnipi2, Ivory Coast",FLO ID 39152,certified
SCOOPS CAPROCA  (Société Coopérative Agricole Simplifiée des Producteurs du Cavally),6.54905,-7.49765,certified Fair Trade producer,production,"Guiglo, Ivory Coast",FLO ID 39189,certified
COOP CAED  (Coopérative Agricole Emergente de Daloa ,6.87333,-6.44518,certified Fair Trade producer,production,"Rue Cargill, Daloa, Ivory Coast",FLO ID 39221,certified
COOP-CA CAPATRAB  (Société Coopérative Paix Travail de Blolequin),6.57908,-8.00563,certified Fair Trade producer,production,"BP 75 Guiglo, Blolequin, Ivory Coast",FLO ID 39223,certified
ECAO COOP-CA,5.78337,-6.59107,certified Fair Trade producer,production,"BP 827 Soubre, Oupoyo, Soubre, Ivory Coast",FLO ID 39240,certified
SCOOWEND COOP-CA,7.35,-8.35,certified Fair Trade producer,production,"Djapadji s/p Doba, San Pedro, Ivory Coast",FLO ID 39288,certified
COOP-CA-SOCAWESN  (La Société Coopérative Agricole Wendla Songa de Nane),7.7438,-7.6195,certified Fair Trade producer,production,"Biankouma, Ivory Coast",FLO ID 39338,certified
SCOOPS MONT MOMI  (Société Coopérative Simplifiée des producteurs du Mont Momi),7.50886,-8.10316,certified Fair Trade producer,production,"KATA sous -préfecture de Daleu, Danané, Ivory Coast",FLO ID 39351,certified
SOCOOPRADA  (Société Coopérative des Producteurs Agricole du Département de la Daloa),6.87538,-6.46097,certified Fair Trade producer,production,"BP 301, Daloa, Ivory Coast",FLO ID 39424,certified
SCOOPS-KRIHIRI  (Société Coopérative Simplifiée Krihiri de Bassehoa),6.23605,-6.17233,certified Fair Trade producer,production,"Bassehoa, Guiberoua, Ivory Coast",FLO ID 39450,certified
SCAED  (Société Coopérative Agricole Entente de Dakpadou),5.23646,-6.07056,certified Fair Trade producer,production,"Dakpadou, Sassandra, Ivory Coast",FLO ID 39525,certified
SOCADJA COOP-CA,4.42809,-7.35868,certified Fair Trade producer,production,"Djouroutou, Ivory Coast",FLO ID 39559,certified
SOCA2PD  (Société Coopérative Simplifiée Anouanze des petits Producteurs de Didoko.),5.84495,-5.36529,certified Fair Trade producer,production,"01 BP, Divo, Ivory Coast",FLO ID 39718,certified
COOP CA WENDE  (Société Coopérative Agricole Pang Bene Wende de Duekoue.),6.73902,-7.35885,certified Fair Trade producer,production,"S/P, Duekoue, Ivory Coast",FLO ID 39768,certified
SCOOPS-COOPAC  (Société Coopérative Simplifiée Coopérative Agricole du Cavally),7.2676,-8.14478,certified Fair Trade producer,production,"BP 306, Danane, Ivory Coast",FLO ID 39776,certified
